date,cluster_1_mean_distance,cluster_2_mean_distance
2020-03-31,2690.049507494434,1810.4361837173708
2020-04-30,,
2020-05-31,,
2020-06-30,1845.9098910354915,1844.4645677976946
2020-07-31,,
2020-08-31,2119.433281415018,1235.834016139795
2020-09-30,2031.791437895078,1426.2870217373763
2020-10-31,2316.489819419064,2079.029925920822
2020-11-30,,
2020-12-31,,
2021-01-31,,
2021-02-28,,
2021-03-31,,
2021-04-30,,
2021-05-31,,
2021-06-30,,
2021-07-31,,
2021-08-31,,
2021-09-30,,
2021-10-31,,
2021-11-30,,
2021-12-31,,
2022-01-31,2077.0608077059005,1745.545496636349
2022-02-28,,
2022-03-31,2068.8404662465805,1536.5612287448241
2022-04-30,2269.206632180521,2292.482684827091
2022-05-31,3157.7280737173064,3125.6735511431816
2022-06-30,2250.977988457103,2763.2980313184685
2022-07-31,2626.686467671552,2590.291757132358
2022-08-31,2694.1699735086695,1849.7952900921814
2022-09-30,,
2022-10-31,,
2022-11-30,,
2022-12-31,,
2023-01-31,2074.5099178654823,1931.947613027921
2023-02-28,1867.1776104812,1268.9652522663146
2023-03-31,3373.010534820946,1721.8717141569093
2023-04-30,2549.835688550342,1675.126877977189
2023-05-31,2548.0342410511953,2061.699794595299
2023-06-30,2347.066014532454,1452.0805508613469
2023-07-31,2430.969181491272,2046.3705780414646
2023-08-31,2593.7119416595056,1986.5568654542983
2023-09-30,,
2023-10-31,,
2023-11-30,,
2023-12-31,,
2024-01-31,,
2024-02-29,,
2024-03-31,2630.6776229673974,2003.7745880819937
2024-04-30,3309.4486834881463,2262.3946284089902
